TMIN,TMAX,TPROM
13.3,21.6,17.45
6.2,21.2,13.7
10.7,23.5,17.1
14.2,20.5,17.35
14.6,22.8,18.7
12.3,24.4,18.35
15.4,24,19.7
15.3,24.6,19.95
13.1,25.7,19.4
12.9,27.2,20.05
14.2,28.2,21.2
13.5,28.2,20.85
14,24.7,19.35
6.7,18,12.35
6.2,19.5,12.85
10.4,18.9,14.65
7.4,20,13.7
9.7,20,14.85
10.5,17.1,13.8
10.8,18.5,14.65
3.9,20,11.95
11.7,21.6,16.65
9.6,23.7,16.65
11,22.6,16.8
13,22,17.5
16,20.5,18.25
11.7,21.6,16.65
12.5,26.5,19.5
15.5,26,20.75
18.4,26.5,22.45
13.6,26.5,20.05
6.7,18.9,12.8
4.1,18.4,11.25
4.9,18.6,11.75
4.3,21.7,13
10.8,22.3,16.55
16,19.5,17.75
14.6,21.3,17.95
10.4,20.7,15.55
7.4,18.6,13
8.3,18.2,13.25
5.7,17.4,11.55
4.6,17.6,11.1
12.4,21.3,16.85
10.7,24.5,17.6
9.8,25.5,17.65
12.7,24.2,18.45
14.3,23.9,19.1
12.6,21.9,17.25
7.1,19.9,13.5
8.5,16.4,12.45
6.9,17,11.95
14.2,19.4,16.8
15.6,21.3,18.45
18.7,22.4,20.55
16.9,20.6,18.75
12.5,20.4,16.45
6.3,14,10.15
1.2,14,7.6
1.5,15.3,8.4
6.7,16.4,11.55
12.3,19,15.65
11.3,22.5,16.9
12.4,23,17.7
12.9,21.2,17.05
9.4,18,13.7
2.8,15.5,9.15
7.8,19.2,13.5
13.3,18.6,15.95
14.2,23.5,18.85
10.6,22.3,16.45
6,11.2,8.6
2.2,10.6,6.4
0.3,12.9,6.6
0.2,13.5,6.85
-0.2,13.8,6.8
-0.5,14.2,6.85
2.2,14.6,8.4
4.2,12.4,8.3
-2.2,11.9,4.85
2.2,13.5,7.85
6.5,13.8,10.15
8.5,14.7,11.6
4.9,14.5,9.7
8.3,14.1,11.2
9.2,14.4,11.8
10,16.5,13.25
8.8,20.3,14.55
7.6,16.5,12.05
4.6,16.5,10.55
1.8,13.1,7.45
1.4,15,8.2
4.5,16.4,10.45
8.8,17,12.9
12.4,20.5,16.45
14.2,22.1,18.15
12.3,19.2,15.75
8.6,16.9,12.75
4.1,14.6,9.35
6.1,13.4,9.75
11.8,14.7,13.25
8,15,11.5
6.3,12.5,9.4
8.1,10.3,9.2
5.8,11.7,8.75
-0.3,11,5.35
7.5,14,10.75
1.9,12,6.95
0.4,9.9,5.15
-2.5,11,4.25
-0.6,11.2,5.3
6.7,15,10.85
11,23.8,17.4
13.7,25.6,19.65
6.8,16.6,11.7
6.8,12,9.4
3.8,14.1,8.95
10.3,16,13.15
3.2,12,7.6
4.8,13,8.9
6.6,15.8,11.2
10.8,17.4,14.1
6.1,20.2,13.15
13.7,25.6,19.65
12.6,28.2,20.4
6.2,13,9.6
2.4,16.7,9.55
2.6,14.8,8.7
10.4,17.6,14
3.4,13,8.2
0.3,14,7.15
5.4,16.6,11
12,18.1,15.05
9.2,16.4,12.8
2.5,12.1,7.3
-1.6,14.4,6.4
10.5,21.6,16.05
14,23,18.5
12.8,23.4,18.1
13.1,15.5,14.3
9.4,16,12.7
4.3,13.5,8.9
4.6,11.5,8.05
4.4,14.8,9.6
9,16.5,12.75
6.8,15.2,11
7.6,15.2,11.4
4.6,15,9.8
0.6,13.5,7.05
0,13.2,6.6
3.3,13.2,8.25
5.8,16.5,11.15
7.4,20.9,14.15
4.8,17.2,11
5.8,19.8,12.8
8.8,15,11.9
7,11.5,9.25
6.3,12,9.15
3.2,12.3,7.75
6.3,12.5,9.4
11.2,15,13.1
5.2,18.2,11.7
7.8,19.6,13.7
12.3,20.2,16.25
11.9,20,15.95
5.3,17,11.15
6.4,16.2,11.3
2.4,17.1,9.75
13.9,22.2,18.05
10.8,24.2,17.5
9.8,16.9,13.35
7.2,16.4,11.8
6,16.2,11.1
12.6,17.1,14.85
14.4,19.5,16.95
8.9,16.1,12.5
8.1,16.2,12.15
8.9,14.8,11.85
5,16,10.5
10.2,13.6,11.9
4.1,18.7,11.4
9.3,20.2,14.75
7.3,19,13.15
3,16.4,9.7
2.3,19,10.65
4.2,18.1,11.15
6.8,17.4,12.1
11.3,18.3,14.8
5.6,22.7,14.15
12.1,25.4,18.75
5.3,20.8,13.05
10,25.2,17.6
16.2,26.5,21.35
15.9,27.5,21.7
5.5,18,11.75
0.3,15.4,7.85
3.5,18.4,10.95
5.3,21,13.15
13.1,22,17.55
14.3,26.5,20.4
6.8,18.7,12.75
2.6,17.5,10.05
12.8,19.4,16.1
11.8,23,17.4
15.3,23.7,19.5
17,25,21
14.8,18.5,16.65
12.1,20.7,16.4
5.4,20.4,12.9
7.8,23,15.4
14.6,25.6,20.1
17,26.3,21.65
15.7,22.7,19.2
9.3,19.9,14.6
9.9,13.4,11.65
7,14,10.5
